Sl.no,ObservationDate,District,State/Region,Last update,Confirmed,Recovered,Deaths
93,20/4/2020,Bidar,Karnataka,20/4/2020 10:45,0,60,0
94,16/4/2020,Ballari,Karnataka,16/4/2020 10:45,0,38,0
95,14/4/2020,Uttar Kannada,Karnataka,14/4/2020 10:45,0,90,0
96,13/4/2020,Bengaluru Rural,Karnataka,13/4/2020 10:45,0,100,0
97,23/3/2020,Chitradurga,Karnataka,23/3/2020 10:45,0,100,0
98,28/3/2020,Davangere,Karnataka,28/3/2020 10:45,0,100,0
99,18/3/2020,Kodagu,Karnataka,18/3/2020 10:45,0,100,0
100,29/3/2020,Udupi,Karnataka,29/3/2020 10:45,0,100,0
101,27/4/2020,Bengaluru Urban,Karnataka,27/4/2020 10:45,35,46,3
102,28/4/2020,Kalburgi,Karnataka,28/4/2020 10:45,20,13,8
103,28/4/2020,Belagavi,Karnataka,28/4/2020 10:45,12,13,1
104,26/4/2020,Bagalkote,Karnataka,26/4/2020 10:45,5,23,3
105,26/4/2020,Dakshina Kannada,Karnataka,26/4/2020 10:45,4,57,9
106,27/4/2020,Mandya,Karnataka,27/4/2020 10:45,4,22,0
107,26/4/2020,Vijayapura,Karnataka,26/4/2020 10:45,4,15,5
108,24/4/2020,Chikkaballapur,Karnataka,24/4/2020 10:45,2,61,11
109,29/4/2020,Mysore,Karnataka,29/4/2020 10:45,2,63,0
110,29/4/2020,Davangere,Karnataka,29/4/2020 10:45,1,67,0
111,27/4/2020,Gadag,Karnataka,27/4/2020 10:45,1,0,20
112,23/4/2020,Tumakur,Karnataka,23/4/2020 10:45,1,33,33
113,22/4/2020,Dharwad,Karnataka,22/4/2020 10:45,0,22,0
114,20/4/2020,Bidar,Karnataka,20/4/2020 10:45,0,60,0
115,16/4/2020,Ballari,Karnataka,16/4/2020 10:45,0,38,0
116,14/4/2020,Uttar Kannada,Karnataka,14/4/2020 10:45,0,90,0
117,13/4/2020,Bengaluru Rural,Karnataka,13/4/2020 10:45,0,100,0
118,29/3/2020,Udupi,Karnataka,29/3/2020 10:45,0,100,0
119,23/3/2020,Chitradurga,Karnataka,23/3/2020 10:45,0,100,0
120,18/3/2020,Kodagu,Karnataka,18/3/2020 10:45,0,100,0
121,30/4/2020,Bengaluru Urban,Karnataka,30/4/2020 10:45,33,46,3
122,29/4/2020,Belagavi,Karnataka,29/4/2020 10:45,24,10,1
123,30/4/2020,Kalburgi,Karnataka,30/4/2020 10:45,20,14,8
124,29/4/2020,Dakshina Kannada,Karnataka,29/4/2020 10:45,5,55,9
125,29/4/2020,Vijayapura,Karnataka,29/4/2020 10:45,5,14,4
126,27/4/2020,Mandya,Karnataka,27/4/2020 10:45,4,22,0
127,26/4/2020,Bagalkote,Karnataka,26/4/2020 10:45,3,23,3
128,29/4/2020,Davangere,Karnataka,29/4/2020 10:45,2,50,0
129,29/4/2020,Mysore,Karnataka,29/4/2020 10:45,2,69,0
130,28/4/2020,Tumakur,Karnataka,28/4/2020 10:45,2,20,40
131,24/4/2020,Chikkaballapur,Karnataka,24/4/2020 10:45,1,61,11
132,27/4/2020,Gadag,Karnataka,27/4/2020 10:45,1,0,20
133,22/4/2020,Dharwad,Karnataka,22/4/2020 10:45,0,22,0
134,20/4/2020,Bidar,Karnataka,20/4/2020 10:45,0,60,0
135,16/4/2020,Ballari,Karnataka,16/4/2020 10:45,0,38,0
136,14/4/2020,Uttar Kannada,Karnataka,14/4/2020 10:45,0,90,0
137,13/4/2020,Bengaluru Rural,Karnataka,13/4/2020 10:45,0,100,0
138,29/3/2020,Udupi,Karnataka,29/3/2020 10:45,0,100,0
139,23/3/2020,Chitradurga,Karnataka,23/3/2020 10:45,0,100,0
140,18/3/2020,Kodagu,Karnataka,18/3/2020 10:45,0,100,0
141,1/5/2020,Kalburgi,Karnataka,1/5/2020 10:45,23,20,8
142,30/4/2020,Belagavi,Karnataka,30/4/2020 10:45,21,10,1
143,30/4/2020,Bengaluru Urban,Karnataka,30/4/2020 10:45,19,51,3
144,30/4/2020,Mandya,Karnataka,30/4/2020 10:45,10,15,0
145,1/5/2020,Davangere,Karnataka,1/5/2020 10:45,8,20,0
146,30/4/2020,Dakshina Kannada,Karnataka,30/4/2020 10:45,7,50,12
147,30/4/2020,Vijayapura,Karnataka,30/4/2020 10:45,5,26,4
148,26/4/2020,Bagalkote,Karnataka,26/4/2020 10:45,2,23,3
149,29/4/2020,Mysore,Karnataka,29/4/2020 10:45,2,73,0
150,28/4/2020,Tumakur,Karnataka,28/4/2020 10:45,2,20,40
151,1/5/2020,Chikkaballapur,Karnataka,1/5/2020 10:45,1,58,10
152,27/4/2020,Gadag,Karnataka,27/4/2020 10:45,1,20,20
153,22/4/2020,Dharwad,Karnataka,22/4/2020 10:45,0,22,0
154,20/4/2020,Bidar,Karnataka,20/4/2020 10:45,0,60,0
155,16/4/2020,Ballari,Karnataka,16/4/2020 10:45,0,54,0
156,14/4/2020,Uttar Kannada,Karnataka,14/4/2020 10:45,0,100,0
157,13/4/2020,Bengaluru Rural,Karnataka,13/4/2020 10:45,0,100,0
158,29/3/2020,Udupi,Karnataka,29/3/2020 10:45,0,100,0
159,23/3/2020,Chitradurga,Karnataka,23/3/2020 10:45,0,100,0
160,18/3/2020,Kodagu,Karnataka,18/3/2020 10:45,0,100,0
161,3/5/2020,Bengaluru Urban,Karnataka,3/5/2020 10:45,19,48,4
162,29/4/2020,Mysore,Karnataka,29/4/2020 10:45,1,76,0
163,13/4/2020,Bengaluru Rural,Karnataka,13/4/2020 10:45,0,100,0
164,1/5/2020,Belagavi,Karnataka,1/5/2020 10:45,19,21,1
165,3/5/2020,Kalburgi,Karnataka,3/5/2020 10:45,23,30,8
166,1/5/2020,Vijayapura,Karnataka,1/5/2020 10:45,5,33,4
167,2/5/2020,Bagalkote,Karnataka,2/5/2020 10:45,7,30,3
168,30/4/2020,Mandya,Karnataka,30/4/2020 10:45,9,15,0
169,30/4/2020,Dakshina Kannada,Karnataka,30/4/2020 10:45,3,33,16
170,1/5/2020,Chikkaballapur,Karnataka,1/5/2020 10:45,2,60,10
